aabcfn_nft,aabcfn_ft,ampfe_nft,ampfe_ft,cafn_nft,cafn_ft,cffn_nft,cffn_ft,ckfe_nft,ckfe_ft,cmqfe_nft,cmqfe_ft,cmqgfe_nft,cmqgfe_ft,cpffn_nft,cpffn_ft,ctcfe_nft,ctcfe_ft,cvffe_nft,cvffe_ft,cvfn_nft,cvfn_ft,sub_cffn_nft,sub_cffn_ft,sub_cle_nft,sub_cle_ft,sub_cqfe_nft,sub_cqfe_ft,uvfe_nft,uvfe_ft,
1,nan,3.896638899220089e-06,nan,nan,0.0001369489506431209,0.00020937420415437208,-4.27149452638816e-05,-2.187682010000014,-3.936348638161369e-05,nan,8.428793437663005e-07,7.293654223817486e-05,-5.878808100394385e-07,-1.511758218137612e-06,9.978466249799103e-07,nan,nan,-2.190330506925242e-07,4.572533984980802e-05,3.5067356579226216e-06,9.941889248192526e-06,3.5067356579226216e-06,-1593015462.2512825,3.1307708478340513e-06,2.7943177025047344e-07,2.2908445279405716e-07,2.4358830701987327e-07,0.0030190452598427,7.443145492715331e-06,6.673918816880285e-07,
2,nan,3.666756453173377e-06,nan,nan,0.00013988337012916014,0.00021213219265055232,-6.236212907818382e-05,-0.015478288606345843,-2.0731887508488313e-05,2.5772940266870276e-06,5.620693203294965e-07,0.00011670536860017684,-1.9636338887424955e-07,-9.977481339019995e-07,9.019353097405776e-07,nan,1.1604432773555332e-07,-3.3620067972660787e-07,3.4517984915434314e-05,3.514611108640759e-06,9.942101240677775e-06,3.514611108640759e-06,-1593015462.2661765,3.1361292309201673e-06,4.042220182249771e-07,5.828236716600326e-07,2.4369216677329254e-07,0.001131512223013577,3.7238059073346625e-06,6.674245660800964e-07,
3,nan,3.443787919482983e-06,nan,nan,0.0001486350387821333,0.00021918601118942142,-7.121641904224017e-05,0.04936643136579186,-1.1467904368656345e-05,5.236025287218636e-06,7.633975197145046e-07,7.365578175628452e-05,9.66047151573893e-07,3.97555007089181e-07,8.221309556120959e-07,nan,2.942958445260989e-07,-3.110990067916592e-07,3.013723978268736e-05,3.537625900974388e-06,9.943186251146392e-06,3.537625900974388e-06,-1593015462.322228,3.1431883654004186e-06,5.706522916982644e-07,1.1352522942404552e-06,2.4356696276239413e-07,0.0005222703878819514,2.4825512974412982e-06,6.677288680553203e-07,
4,nan,3.228040545933826e-06,nan,nan,0.0001671102778080516,0.00023171727728088943,-6.394270116116284e-05,0.04451006966080485,-2.699809791664633e-06,1.0427406395449882e-05,1.3562307599315058e-06,1.5809561783153306e-05,3.3197252719045626e-06,3.1148497631172294e-06,7.74327452693721e-07,nan,5.920752746215964e-07,-1.2740854191970954e-07,3.927700457618054e-05,3.5873879995371666e-06,9.947009267078524e-06,3.5873879995371666e-06,-1593015462.4572031,3.1546932783109297e-06,7.890992680076508e-07,1.8948883246729298e-06,2.432424569708098e-07,0.0002590245823853233,1.8629353614545757e-06,6.691272156544126e-07,
5,nan,3.0198463257534007e-06,nan,nan,0.00019981740059334894,0.000251190664594186,-3.522009100022959e-05,0.03420776148153363,8.369590792315572e-06,1.901274336587205e-05,2.4186751512667044e-06,7.224874787809615e-06,7.290184335789701e-06,7.59485031977503e-06,7.82168827765292e-07,nan,1.0393593716089016e-06,-2.0273962440630345e-07,6.834929545364722e-05,3.6803069317323675e-06,9.957419844484241e-06,3.6803069317323675e-06,-1593015462.7141194,3.17640683188706e-06,1.0717345971078244e-06,2.8715512645554224e-06,2.4318794976904405e-07,0.00013039500149079146,1.49570186856255e-06,6.735199258198256e-07,
6,nan,2.819564870380234e-06,0.00020911848236856935,nan,0.0002518047894982437,0.0002795904544107894,2.0287796412515862e-05,0.025403448819915728,2.332674214330353e-05,3.18620024846037e-05,4.0626700349394345e-06,6.980325750767678e-06,1.3312684702422577e-05,1.4278286489967047e-05,8.768792130395608e-07,nan,1.6673827031045314e-06,1.054408534700391e-06,0.00012350534989307685,3.839037179000215e-06,9.98126568881932e-06,3.839037179000215e-06,-1593015463.1369383,3.2191818326059273e-06,1.4327071760011785e-06,4.076286943814066e-06,2.448413027279687e-07,6.395046532777902e-05,1.2608726207081033e-06,6.84418689403244e-07,
7,nan,2.627586720792099e-06,0.00016651051522194747,nan,0.00032859897265010026,0.00031957744949985805,0.00010796360723975285,0.01863609828795681,4.3368643891700635e-05,4.985366233619494e-05,6.413484769594316e-06,8.964723954707657e-06,2.1836550265424354e-05,2.3605903713909335e-05,1.0970786348389138e-06,nan,2.5086642709426037e-06,1.924495575826713e-06,0.00021065672745250005,4.093783874401308e-06,1.0029587092301359e-05,4.093783874401308e-06,-1593015463.7669215,3.3016849578976555e-06,1.888330146831076e-06,5.5212755426658335e-06,2.5130151314201213e-07,2.91658441419695e-05,1.1110985685835967e-06,7.074545311181988e-07,
8,nan,2.4443371810937404e-06,0.00013701772560116535,nan,0.00043614270073679133,0.0003746191770006252,0.00023326416516712765,0.013553973184937151,6.952682859536116e-05,7.38744271294719e-05,9.604106835162312e-06,1.2406878257214736e-05,3.332913462770633e-05,3.6018463059129486e-05,1.4885826665386514e-06,nan,3.5969869477506912e-06,3.108845901518108e-06,0.00033549640608919646,4.483440577606454e-06,1.0118973759182695e-05,4.483440577606454e-06,-1593015464.639648,3.453701323996711e-06,2.4572719094896564e-06,7.21974408852188e-06,2.681521712997546e-07,1.1458672558035427e-05,1.0277035154510472e-06,7.508123582418606e-07,
9,nan,2.2702807773998518e-06,0.00012042251474811663,nan,0.0005807330238000591,0.00044910380023604514,0.00040174244152242557,0.009763969982512046,0.00010274780658647259,0.00010481877460391433,1.3773069527921274e-05,1.7268068933268034e-05,4.827936960099331e-05,5.195674122046672e-05,2.104183629079064e-06,nan,4.967329731130775e-06,4.616683210637204e-06,0.0005035198741251006,5.05652889836325e-06,1.0273058302079678e-05,5.05652889836325e-06,-1593015465.7826939,3.7198739995704546e-06,3.160750527073094e-06,9.185900654896569e-06,3.04374675544453e-07,3.2625265374978217e-06,1.0061898723140278e-06,8.255581422120912e-07,
10,nan,2.105926469671815e-06,0.00011677101192780374,5.834754714895454e-05,0.0007689593680288771,0.0005484353557143289,0.0006190611147707306,0.006958062792934225,0.00014392830411285576,0.00014358831554303224,1.906338465731328e-05,2.367407776118083e-05,6.720081853865825e-05,7.186153052007185e-05,3.0034105783258078e-06,nan,6.655752816029089e-06,6.473036422927217e-06,0.0007200462179451792,5.87190973950977e-06,1.0524112247835843e-05,5.87190973950977e-06,-1593015467.2139738,4.16367088841212e-06,4.02273103873465e-06,1.14349055606736e-05,3.7330162417186394e-07,4.2368600556747715e-07,1.0505503014219683e-06,9.458367375930667e-07,
